trial,mark,distance_m,observed_time_s
1,1,5,3.2078
1,2,10,4.1078
1,3,15,5.2578
1,4,20,5.8578
1,5,25,6.5245
1,6,30,7.2245
1,7,35,7.7579
1,8,40,8.3079
1,9,45,8.8745
1,11,55,9.4737
1,12,60,9.9912
1,13,65,10.4913
1,15,75,11.0413
1,16,80,11.5913
1,18,90,12.0579
1,19,95,12.5246
1,20,100,12.7658
