trial,mark,distance_m,observed_time_s
1,2,10,3.8670
1,3,15,4.6170
1,4,20,5.4671
1,5,25,6.0171
1,6,30,6.6004
1,7,35,7.1338
1,8,40,7.6338
1,9,45,8.1004
1,10,50,8.5338
1,11,55,8.9671
1,12,60,9.3505
1,13,65,9.7665
1,14,70,10.1172
1,15,75,10.4505
1,16,80,10.7338
1,17,85,11.1005
1,18,90,11.3838
1,19,95,11.5672
