trial,mark,distance_m,observed_time_s
1,2,10,3.9735
1,3,15,4.8235
1,4,20,5.6068
1,5,25,6.2402
1,6,30,6.8565
1,7,35,7.3401
1,8,40,7.8732
1,9,45,8.3400
1,10,50,8.8561
1,11,55,9.3066
1,12,60,9.8233
1,13,65,10.2732
1,15,75,10.7232
1,16,80,11.1232
1,17,85,11.4898
1,18,90,11.7731
1,19,95,12.0398
1,20,100,12.3091
