trial,mark,distance_m,observed_time_s
1,1,5,2.8435
1,2,10,3.6596
1,3,15,4.6100
1,4,20,5.3433
1,5,25,5.7933
1,6,30,6.3099
1,7,35,6.7761
1,8,40,7.2590
1,9,45,7.7758
1,10,50,8.2264
1,12,60,8.6755
1,13,65,9.1763
1,15,75,9.6429
1,16,80,10.0927
1,17,85,10.5095
1,19,95,10.9094
1,20,100,11.2780
