trial,mark,distance_m,observed_time_s
1,1,5,3.1689
1,3,15,5.1190
1,4,20,5.8857
1,5,25,6.5690
1,6,30,7.1357
1,7,35,7.7357
1,8,40,8.2691
1,9,45,8.7691
1,10,50,9.3191
1,12,60,9.8691
1,13,65,10.4191
1,15,75,11.0024
1,16,80,11.6191
1,18,90,12.1025
1,19,95,12.5192
1,20,100,12.8000
